# GeneMark.hmm-2 LST format
# GeneMark.hmm-2 prokaryotic version: 1.06
# File with sequence: tmpseq.fna
# File with native parameters: itr_1.mod
# File with MetaGeneMark parameters: /home/karl/repos/repos-gms2/bin/mgm_11.mod
#
# translation table: 11
# output date start: Sun Oct 28 17:19:54 2018

# sequence-region 1 4411532
SequenceID: anydef
     1   +   <1    1524    1524 nativebacarc native
   777   +    846159    847913    1755 nativebacarc  0 3 native
   778   -    848103    850040    1938 nativebacarc  0 3 native
   779   -    850342    850527     186 nativebac  0 3 native
   780   -    850741    851466     726 nativebacarc  0 3 native
   781   +    851608    852351     744 nativebacarc  0 3 native
   782   +    852396    853853    1458 nativebacarc  0 3 native
   783   -    853825    854226     402 nativebacarc  0 3 native
   784   -    854267    854686     420 nativebacarc  0 3 native
   785   -    854699    855826    1128 nativebacarc  0 3 native
   786   -    855925    856470     546 nativebacarc  0 3 native
   787   -    856473    856679     207 nativebac  0 3 native
   788   -    856682    858037    1356 nativebacarc  0 3 native
   789   -    858037    858864     828 nativebacarc  0 3 native
   790   -    858864    860072    1209 nativebacarc  0 3 native
   791   -    860069    860710     642 nativebacarc  0 3 native
   792   +    860912    862381    1470 nativebacarc  0 3 native
   793   +    862412    863158     747 nativebacarc  0 3 native
   794   +    863256    864143     888 nativebacarc  0 3 native
   795   +    864140    864574     435 nativebacarc  0 3 atypical
   796   +    864586    865854    1269 nativebacarc  0 3 native
   797   -    865851    867434    1584 nativebacarc  0 3 native
   798   -    867440    868339     900 nativebac  0 3 native
   799   +    868407    869030     624 nativebacarc  0 3 native
   800   -    868984    869763     780 nativebacarc  0 3 native
   801   +    870008    871426    1419 nativebacarc  0 3 native
   802   +    871431    872675    1245 nativebacarc  0 3 native
   803   -    872672    873292     621 nativebacarc  0 3 native
   804   +    873343    874236     894 nativebacarc  0 3 native
   805   +    874233    874943     711 nativebacarc  0 3 native
   806   +    874960    876390    1431 nativebacarc  0 3 native
   807   +    876689    876829     141 nativebac  0 3 atypical
   808   -    876818    878455    1638 nativebacarc  0 3 native
   809   +    878620    879324     705 nativebacarc  0 3 native
   810   +    879361    881040    1680 nativebacarc  0 3 native
   811   -    881075    881605     531 nativebacarc  0 3 native
   812   +    881627    882418     792 nativebac  0 3 native
   813   +    882524    882763     240 nativebacarc  0 3 native
   814   +    882760    883434     675 nativebacarc  0 3 native
   815   -    883451    883924     474 nativebacarc  0 3 native
   816   -    884072    884800     729 nativebacarc  0 3 native
   817   -    884797    885840    1044 nativebacarc  0 3 native
   818   -    885837    886646     810 nativebacarc  0 3 native
   819   +    886719    887024     306 nativebacarc  0 3 native
   820   -    887137    888636    1500 nativebacarc  0 3 native
   821   +    889072    889398     327 nativebac  0 3 native
   822   +    889449    890333     885 nativebacarc  0 3 native
   823   +    890388    891482    1095 nativebacarc  0 3 native
   824   -    891472    892269     798 nativebacarc  0 3 native
   825   -    892266    893273    1008 nativebacarc  0 3 native
   826   +    893318    894619    1302 nativebacarc  0 3 native
   827   +    894631    894978     348 nativebacarc  0 3 native
   828   -    894972    895628     657 nativebacarc  0 3 native
   829   +    895784    898084    2301 nativebacarc  0 3 native
   830   +    898081    898710     630 nativebac  0 3 native
   831   +    898933    899787     855 nativebacarc  0 3 native
   832   -    899732    901330    1599 nativebacarc  0 3 native
   833   +    901635    902024     390 nativebac  0 3 native
   834   +    902111    903694    1584 nativebacarc  0 3 native
   835   +    903725    904819    1095 nativebacarc  0 3 native
   836   -    904905    905087     183 nativebac  0 3 native
   837   -    905234    906340    1107 nativebacarc  0 3 native
   838   +    906405    907292     888 nativebacarc  0 3 native
   839   -    907338    908018     681 nativebacarc  0 3 native
   840   -    908015    908113      99 nativebac  0 3 native
   841   -    908181    908483     303 nativebacarc  0 3 native
   842   -    908485    909360     876 nativebacarc  0 3 native
   843   -    909611    910033     423 nativebac  0 3 native
   844   -    910030    910836     807 nativebacarc  0 3 native
   845   +    910933    911739     807 nativebacarc  0 3 native
   846   +    911736    912683     948 nativebacarc  0 3 native
   847   +    912726    913502     777 nativebacarc  0 3 native
   848   -    913558    914121     564 nativebacarc  0 3 atypical
   849   -    914257    916311    2055 nativebacarc  0 3 native
   850   -    916477    917646    1170 nativebacarc  0 3 native
   851   -    917734    918750    1017 nativebacarc  0 3 native
   852   -    918912    919511     600 nativebacarc  0 3 native
   853   +    919751    920689     939 nativebacarc  0 3 native
   854   -    920741    921133     393 nativebacarc  0 3 native
   855   -    921191    921601     411 nativebacarc  0 3 native
   856   +    921970    922875     906 nativebacarc  0 3 native
   857   -    922894    923709     816 nativebacarc  0 3 atypical
   858   +    924960    925364     405 nativebac  0 3 native
   859   +    925361    927610    2250 nativebac  0 3 native
   860   -    927837    930485    2649 nativebacarc  0 3 native
   861   +    930953    931597     645 nativebac  0 3 native
   862   -    931578    931934     357 nativebac  0 3 native
   863   -    932279    933025     747 nativebacarc  0 3 native
   864   -    933003    934031    1029 nativebacarc  0 3 native
   865   +    934879    935490     612 nativebac  0 3 native
   866   +    935577    936389     813 nativebacarc  0 3 native
   867   -    936457    937101     645 nativebacarc  0 3 native
   868   +    938076    939404    1329 nativebacarc  0 3 native
   869   +    939388    940392    1005 nativebacarc  0 3 native
   870   -    940456    941106     651 nativebacarc  0 3 native
   871   +    941253    942467    1215 nativebacarc  0 3 native
   872   -    942680    944194    1515 nativebacarc  0 3 native
   873   +    944319    944735     417 nativebac  0 3 native
   874   +    945127    946056     930 nativebacarc  0 3 native
   875   +    946056    947315    1260 nativebacarc  0 3 native
   876   +    947312    947644     333 nativebac  0 3 native
   877   -    947641    948477     837 nativebacarc  0 3 native
   878   +    948757    949395     639 nativebacarc  0 3 native
   879   -    949436    951118    1683 nativebacarc  0 3 native
   880   +    951183    951626     444 nativebacarc  0 3 native
   881   +    951632    952711    1080 nativebacarc  0 3 native
   882   +    952825    953229     405 nativebacarc  0 3 native
   883   +    953257    953730     474 nativebacarc  0 3 native
   884   -    953727    954977    1251 nativebacarc  0 3 native
   885   +    955050    956288    1239 nativebacarc  0 3 native
   886   +    956293    958455    2163 nativebacarc  0 3 native
   887   -    958523    960172    1650 nativebacarc  0 3 native
   888   -    960342    962612    2271 nativebacarc  0 3 native
   889   +    962680    962880     201 nativebac  0 3 native
   890   +    962965    963393     429 nativebacarc  0 3 atypical
   891   +    963390    963872     483 nativebacarc  0 3 native
   892   +    963869    964294     426 nativebacarc  0 3 native
   893   -    964312    965535    1224 nativebac  0 3 native
   894   -    965983    966261     279 nativebac  0 3 native
   895   -    966265    967347    1083 nativebacarc  0 3 native
   896   -    967344    967733     390 nativebacarc  0 3 native
   897   +    967889    968305     417 nativebacarc  0 3 native
   898   -    968424    970244    1821 nativebacarc  0 3 native
   899   +    970505    972457    1953 nativebacarc  0 3 native
   900   -    972546    973706    1161 nativebacarc  0 3 native
   901   -    973806    974294     489 nativebac  0 3 native
   902   -    974291    975880    1590 nativebacarc  0 3 native
   903   +    976075    976863     789 nativebacarc  0 3 native
   904   -    976872    978203    1332 nativebacarc  0 3 native
   905   -    978481    978708     228 nativebac  0 3 atypical
   906   +    978934    979365     432 nativebacarc  0 3 native
   907   +    979362    980228     867 nativebacarc  0 3 native
   908   +    980225    980509     285 nativebac  0 3 native
   909   -    980506    981267     762 nativebacarc  0 3 native
   910   -    981424    982554    1131 nativebacarc  0 3 native
   911   +    982801    983784     984 nativebacarc  0 3 native
   912   +    983863    985530    1668 nativebacarc  0 3 native
   913   -    985513    985971     459 nativebacarc  0 3 native
   914   +    987203    988705    1503 nativebacarc  0 3 native
   915   -    988740    989861    1122 nativebacarc  0 3 native
   916   -    989948    992596    2649 nativebacarc  0 3 native
   917   -    992598    993122     525 bac  0 3 atypical
   918   +    993904    995340    1437 nativebac  0 3 native
   919   -    995318    996130     813 nativebacarc  0 3 atypical
   920   +    996596    997705    1110 nativebacarc  0 3 native
   921   +    997863    999299    1437 nativebac  0 3 native
   922   +    999472    1000767    1296 nativebacarc  0 3 native
   923   -    1000808    1002415    1608 nativebacarc  0 3 native
   924   -    1002441    1002704     264 nativebac  0 3 native
   925   +    1002917    1003792     876 nativebacarc  0 3 native
   926   +    1003805    1003957     153 nativebac  0 3 native
   927   +    1003957    1004484     528 nativebacarc  0 3 native
   928   -    1004501    1005841    1341 nativebacarc  0 3 native
   929   -    1005852    1006553     702 nativebacarc  0 3 native
   930   -    1006693    1008180    1488 nativebacarc  0 3 native
   931   +    1008207    1008938     732 nativebacarc  0 3 native
   932   +    1008944    1010062    1119 nativebacarc  0 3 native
   933   +    1010313    1011734    1422 nativebacarc  0 3 native
   934   +    1011731    1014124    2394 nativebacarc  0 3 native
   935   +    1014397    1014555     159 nativebac  0 3 native
   936   +    1014681    1014860     180 nativebacarc  0 3 atypical
   937   +    1014866    1015300     435 nativebacarc  0 3 native
   938   +    1015446    1016171     726 nativebacarc  0 3 native
   939   +    1016266    1016685     420 nativebacarc  0 3 native
   940   -    1016820    1017050     231 nativebac  0 3 atypical
   941   -    1017217    1018725    1509 nativebacarc  0 3 native
   942   -    1018727    1019965    1239 nativebacarc  0 3 native
   943   -    1020058    1021287    1230 nativebacarc  0 3 native
   944   -    1021344    1021643     300 nativebac  0 3 native
   945   +    1022087    1023868    1782 nativebacarc  0 3 native
   946   +    1024400    1024687     288 nativebacarc  0 3 atypical
   947   +    1024684    1025184     501 nativebac  0 3 native
   948   -    1025497    1026816    1320 nativebacarc  0 3 native
   949   +    1027104    1027685     582 nativebac  0 3 native
   950   +    1027685    1029337    1653 nativebacarc  0 3 native
   951   -    1029513    1030577    1065 nativebacarc  0 3 native
   952   -    1030578    1031804    1227 nativebacarc  0 3 native
   953   -    1031896    1032633     738 nativebacarc  0 3 native
   954   -    1032710    1033786    1077 nativebacarc  0 3 native
   955   -    1033840    1034631     792 nativebacarc  0 3 native
   956   +    1034903    1036015    1113 nativebacarc  0 3 native
   957   +    1036028    1037002     975 nativebacarc  0 3 native
   958   +    1037011    1037925     915 nativebacarc  0 3 native
   959   -    1037920    1039914    1995 nativebacarc  0 3 native
   960   -    1039936    1041048    1113 nativebacarc  0 3 native
   961   +    1041264    1042094     831 nativebacarc  0 3 native
   962   +    1042115    1043239    1125 nativebacarc  0 3 native
   963   +    1043299    1044315    1017 nativebacarc  0 3 native
   964   +    1044317    1045222     906 nativebacarc  0 3 native
   965   -    1045199    1046020     822 nativebacarc  0 3 native
   966   +    1046136    1048415    2280 nativebacarc  0 3 native
   967   +    1048412    1050346    1935 nativebacarc  0 3 native
   968   -    1050593    1051459     867 nativebacarc  0 3 native
   969   -    1051544    1052239     696 nativebacarc  0 3 atypical
   970   -    1052696    1053736    1041 nativebacarc  0 3 native
   971   +    1053741    1054241     501 nativebacarc  0 3 native
   972   +    1054247    1055008     762 nativebacarc  0 3 native
   973   -    1055024    1056685    1662 nativebacarc  0 3 native
   974   +    1057531    1057641     111 bac  0 3 atypical
   975   -    1057646    1057963     318 nativebacarc  0 3 native
   976   +    1058260    1060575    2316 nativebacarc  0 3 native
   977   -    1060656    1061654     999 nativebacarc  0 3 native
   978   +    1061964    1063127    1164 nativebacarc  0 3 native
   979   +    1063149    1064051     903 nativebacarc  0 3 native
   980   -    1064114    1064962     849 nativebacarc  0 3 native
   981   +    1065127    1066038     912 nativebac  0 3 native
   982   +    1066087    1067445    1359 nativebacarc  0 3 native
   983   +    1067633    1068208     576 nativebacarc  0 3 native
   984   +    1068205    1069776    1572 nativebacarc  0 3 native
   985   +    1069883    1071262    1380 nativebacarc  0 3 native
   986   +    1071255    1073273    2019 nativebacarc  0 3 native
   987   +    1073327    1073548     222 nativebacarc  0 3 native
   988   +    1073545    1073928     384 nativebacarc  0 3 atypical
   989   +    1074095    1074421     327 nativebac  0 3 native
   990   -    1074440    1075114     675 nativebacarc  0 3 native
   991   -    1075111    1075251     141 native  0 3 native
   992   -    1075297    1076259     963 nativebacarc  0 3 native
   993   +    1076272    1076418     147 nativebac  0 3 atypical
   994   -    1076778    1077137     360 nativebac  0 3 native
   995   -    1077233    1077835     603 nativebacarc  0 3 native
   996   +    1077975    1078334     360 nativebacarc  0 3 native
   997   +    1078391    1078687     297 nativebac  0 3 native
   998   +    1078677    1081055    2379 nativebacarc  0 3 native
   999   -    1081336    1081668     333 nativebacarc  0 3 atypical
  1000   -    1081775    1082584     810 nativebacarc  0 3 native
  1001   -    1082584    1083750    1167 nativebacarc  0 3 native
  1002   -    1083747    1085756    2010 nativebacarc  0 3 native
  1003   -    1085756    1087351    1596 nativebacarc  0 3 native
  1004   -    1087348    1088496    1149 nativebacarc  0 3 native
  1005   -    1088493    1090175    1683 nativebacarc  0 3 native
  1006   +    1090373    1093144    2772 nativebacarc  0 3 native
  1007   -    1093361    1094356     996 nativebacarc  0 3 native
  1008   +    1094886    1095059     174 nativebac  0 3 native
  1009   -    1095078    1096451    1374 nativebacarc  0 3 native
  1010   +    1096816    1097508     693 nativebacarc  0 3 native
  1011   +    1097508    1099022    1515 nativebacarc  0 3 native
  1012   +    1099366    1100460    1095 nativebacarc  0 3 native
  1013   +    1100508    1101005     498 nativebacarc  0 3 native
  1014   -    1101025    1101480     456 nativebacarc  0 3 native
  1015   +    1101803    1102549     747 nativebacarc  0 3 atypical
  1016   +    1102542    1105109    2568 bac  0 3 atypical
  1017   +    1105116    1106276    1161 bac  0 3 atypical
  1018   -    1106405    1107382     978 nativebacarc  0 3 native
  1019   -    1107443    1108099     657 nativebacarc  0 3 native
  1020   -    1108172    1108525     354 nativebacarc  0 3 native
  1021   -    1108578    1109249     672 nativebacarc  0 3 native
  1022   +    1109272    1110192     921 nativebacarc  0 3 native
  1023   +    1110269    1111549    1281 nativebacarc  0 3 native
  1024   +    1111612    1112223     612 nativebac  0 3 native
  1025   +    1112384    1113460    1077 nativebacarc  0 3 native
  1026   +    1113861    1114112     252 nativebac  0 3 atypical
  1027   -    1114173    1114382     210 nativebac  0 3 native
  1028   -    1114386    1114718     333 nativebac  0 3 native
  1029   +    1114748    1115749    1002 nativebacarc  0 3 native
  1030   +    1115767    1116525     759 nativebacarc  0 3 native
  1031   -    1116531    1117148     618 nativebacarc  0 3 native
  1032   +    1117185    1118393    1209 nativebacarc  0 3 native
  1033   -    1118428    1119996    1569 nativebacarc  0 3 native
  1034   +    1120022    1120879     858 nativebacarc  0 3 native
  1035   -    1120889    1122112    1224 nativebac  0 3 native
  1036   -    1122222    1123508    1287 nativebacarc  0 3 native
  1037   +    1123831    1125417    1587 nativebacarc  0 3 native
  1038   -    1125444    1127003    1560 nativebacarc  0 3 native
  1039   +    1127089    1127883     795 nativebacarc  0 3 native
  1040   +    1128091    1129179    1089 nativebacarc  0 3 native
  1041   +    1129152    1130105     954 nativebacarc  0 3 native
  1042   +    1130155    1131111     957 nativebacarc  0 3 native
  1043   +    1131625    1133259    1635 nativebacarc  0 3 native
  1044   -    1133333    1133908     576 nativebacarc  0 3 native
  1045   -    1133921    1134568     648 nativebacarc  0 3 native
  1046   -    1134785    1135426     642 nativebacarc  0 3 native
  1047   -    1135501    1136481     981 nativebacarc  0 3 native
  1048   -    1136573    1138060    1488 nativebacarc  0 3 native
  1049   +    1138315    1138908     594 nativebacarc  0 3 native
  1050   +    1138967    1142671    3705 nativebacarc  0 3 native
  1051   +    1142668    1143648     981 nativebacarc  0 3 native
  1052   +    1143691    1144467     777 nativebacarc  0 3 native
  1053   +    1144534    1145853    1320 nativebacarc  0 3 native
  1054   +    1145858    1146544     687 nativebacarc  0 3 native
  1055   +    1146537    1147028     492 nativebacarc  0 3 native
  1056   +    1147019    1147978     960 nativebacarc  0 3 native
  1057   -    1148427    1149107     681 nativebacarc  0 3 native
  1058   -    1149104    1151686    2583 nativebacarc  0 3 native
  1059   +    1151777    1151923     147 nativebac  0 3 native
  1060   +    1151920    1152012      93 nativebac  0 3 native
  1061   +    1152012    1153727    1716 nativebacarc  0 3 native
  1062   +    1153739    1155853    2115 nativebacarc  0 3 native
  1063   +    1155883    1156422     540 nativebacarc  0 3 atypical
  1064   -    1156426    1157886    1461 nativebacarc  0 3 native
  1065   -    1157963    1158736     774 nativebacarc  0 3 native
  1066   -    1158918    1159409     492 nativebacarc  0 3 atypical
  1067   -    1159375    1160040     666 nativebacarc  0 3 native
  1068   -    1160095    1160418     324 nativebacarc  0 3 atypical
  1069   -    1160544    1160828     285 nativebacarc  0 3 native
  1070   -    1160855    1161151     297 nativebacarc  0 3 native
  1071   -    1161297    1162472    1176 nativebacarc  0 3 native
  1072   -    1162549    1163376     828 nativebacarc  0 3 native
  1073   -    1164164    1164403     240 nativebac  0 3 native
  1074   -    1164572    1165009     438 nativebacarc  0 3 native
  1075   -    1165092    1165490     399 nativebac  0 3 native
  1076   -    1165781    1166806    1026 nativebacarc  0 3 native
  1077   +    1167092    1167676     585 nativebac  0 3 native
  1078   +    1167787    1168554     768 nativebacarc  0 3 atypical
  1079   +    1169423    1170670    1248 nativebacarc  0 3 native
  1080   -    1171038    1171796     759 nativebacarc  0 3 atypical
  1081   -    1172110    1172292     183 nativebacarc  0 3 native
  1082   +    1172386    1172832     447 nativebacarc  0 3 atypical
  1083   +    1172881    1173786     906 nativebacarc  0 3 native
  1084   -    1173945    1174700     756 nativebacarc  0 3 native
  1085   +    1175861    1176112     252 nativebacarc  0 3 atypical
  1086   +    1177628    1178392     765 nativebacarc  0 3 native
  1087   -    1178604    1178768     165 native  0 3 native
  1088   +    1179345    1180577    1233 nativebacarc  0 3 native
  1089   +    1180684    1182315    1632 nativebacarc  0 3 native
  1090   +    1182397    1183455    1059 nativebacarc  0 3 native
  1091   +    1183508    1183981     474 nativebacarc  0 3 native
  1092   +    1184015    1184878     864 nativebacarc  0 3 native
  1093   +    1184883    1185740     858 nativebacarc  0 3 native
  1094   -    1185741    1186823    1083 nativebacarc  0 3 native
  1095   -    1186904    1187287     384 nativebac  0 3 native
  1096   +    1187441    1188001     561 nativebac  0 3 native
  1097   +    1187998    1188393     396 nativebacarc  0 3 native
  1098   -    1188421    1190424    2004 nativebacarc  0 3 native
  1099   -    1190757    1192148    1392 nativebacarc  0 3 native
  1100   -    1192510    1194273    1764 nativebacarc  0 3 native
  1101   -    1194270    1195043     774 nativebacarc  0 3 native
  1102   -    1195055    1196092    1038 nativebacarc  0 3 native
  1103   +    1196279    1197115     837 nativebacarc  0 3 native
  1104   +    1197222    1198082     861 nativebacarc  0 3 native
  1105   -    1198156    1199373    1218 nativebacarc  0 3 native
  1106   -    1199426    1200376     951 nativebacarc  0 3 native
  1107   +    1200593    1201660    1068 nativebacarc  0 3 native
  1108   +    1201717    1203111    1395 nativebacarc  0 3 native
  1109   +    1203559    1204035     477 nativebacarc  0 3 native
  1110   +    1204067    1205233    1167 nativebacarc  0 3 native
  1111   -    1205304    1205798     495 nativebacarc  0 3 native
  1112   -    1205984    1206418     435 nativebac  0 3 native
  1113   +    1206520    1207386     867 nativebacarc  0 3 native
  1114   +    1207383    1207649     267 nativebac  0 3 native
  1115   +    1207636    1209657    2022 nativebacarc  0 3 native
  1116   -    1209756    1210532     777 nativebacarc  0 3 native
  1117   +    1210595    1211383     789 nativebacarc  0 3 native
  1118   +    1211560    1213863    2304 nativebacarc  0 3 native
  1119   +    1214049    1214360     312 nativebac  0 3 native
  1120   -    1214464    1214664     201 bac  0 3 atypical
  1121   +    1214826    1215131     306 nativebac  0 3 native
  1122   +    1215225    1215407     183 nativebac  0 3 native
  1123   +    1215599    1216054     456 nativebacarc  0 3 native
  1124   +    1216469    1219030    2562 nativebacarc  0 3 native
  1125   +    1219089    1219217     129 native  0 3 native
  1126   -    1219248    1220120     873 nativebacarc  0 3 native
  1127   +    1220574    1221854    1281 nativebacarc  0 3 native
  1128   +    1221959    1222786     828 nativebacarc  0 3 native
  1129   +    1222997    1224298    1302 nativebacarc  0 3 native
  1130   +    1224385    1225260     876 nativebacarc  0 3 native
  1131   -    1225263    1226144     882 nativebacarc  0 3 native
  1132   -    1226141    1227565    1425 nativebacarc  0 3 native
  1133   -    1227596    1228684    1089 nativebacarc  0 3 native
  1134   +    1228806    1229384     579 nativebacarc  0 3 native
  1135   -    1229391    1230548    1158 nativebacarc  0 3 native
  1136   -    1230660    1230971     312 nativebac  0 3 native
  1137   -    1230971    1231207     237 nativebacarc  0 3 native
  1138   +    1231301    1231990     690 nativebacarc  0 3 native
  1139   +    1232064    1232462     399 nativebac  0 3 native
  1140   +    1232416    1232826     411 nativebac  0 3 native
  1141   -    1232844    1233944    1101 nativebacarc  0 3 native
  1142   -    1233966    1234238     273 nativebac  0 3 atypical
  1143   -    1234213    1235460    1248 nativebacarc  0 3 native
  1144   -    1235457    1236095     639 nativebacarc  0 3 native
  1145   +    1236185    1237192    1008 nativebacarc  0 3 native
  1146   -    1237209    1238123     915 nativebacarc  0 3 native
  1147   +    1238255    1239328    1074 nativebacarc  0 3 native
  1148   +    1239416    1239613     198 native  0 3 native
  1149   +    1239610    1239984     375 nativebacarc  0 3 native
  1150   +    1240244    1240885     642 nativebac  0 3 native
  1151   -    1241115    1241390     276 native  0 3 native
  1152   +    1241633    1241956     324 nativebacarc  0 3 native
  1153   -    1241971    1242783     813 nativebacarc  0 3 native
  1154   -    1242864    1243013     150 nativebac  0 3 native
  1155   -    1243010    1243504     495 nativebacarc  0 3 native
  1156   +    1243707    1245107    1401 nativebacarc  0 3 native
  1157   +    1245141    1246151    1011 nativebacarc  0 3 native
  1158   -    1246144    1247001     858 nativebacarc  0 3 native
  1159   +    1247172    1248077     906 nativebacarc  0 3 native
  1160   +    1248097    1249326    1230 nativebacarc  0 3 native
  1161   -    1249330    1249935     606 nativebacarc  0 3 native
  1162   -    1249932    1251404    1473 nativebacarc  0 3 native
  1163   -    1251617    1252972    1356 nativebacarc  0 3 native
  1164   -    1253074    1254510    1437 nativebacarc  0 3 native
  1165   +    1254618    1256135    1518 nativebacarc  0 3 native
  1166   +    1256180    1257313    1134 nativebacarc  0 3 native
  1167   +    1257325    1259055    1731 nativebacarc  0 3 native
  1168   -    1259067    1261346    2280 nativebacarc  0 3 native
  1169   +    1261922    1262158     237 nativebacarc  0 3 atypical
  1170   -    1262272    1264128    1857 nativebacarc  0 3 native
  1171   +    1264449    1264556     108 native  0 3 native
  1172   +    1264606    1264947     342 nativebacarc  0 3 native
  1173   +    1265103    1265438     336 native  0 3 native
  1174   -    1265472    1266488    1017 nativebac  0 3 native
  1175   -    1266485    1266985     501 nativebacarc  0 3 native
  1176   +    1267473    1268195     723 nativebacarc  0 3 native
  1177   -    1268203    1269018     816 nativebacarc  0 3 native
  1178   -    1269152    1269958     807 nativebacarc  0 3 native
  1179   +    1269957    1271144    1188 nativebacarc  0 3 native
  1180   +    1271156    1271908     753 nativebacarc  0 3 native
  1181   -    1272036    1272167     132 nativebacarc  0 3 native
  1182   +    1272423    1273334     912 nativebacarc  0 3 native
  1183   +    1273265    1274767    1503 nativebacarc  0 3 native
  1184   +    1274900    1275550     651 nativebacarc  0 3 native
  1185   -    1276300    1277664    1365 nativebacarc  0 3 native
  1186   +    1277902    1278300     399 nativebac  0 3 native
  1187   +    1278383    1278820     438 nativebacarc  0 3 native
  1188   -    1278904    1279617     714 nativebacarc  0 3 native
  1189   +    1279637    1280020     384 nativebacarc  0 3 native
  1190   -    1279998    1280846     849 nativebac  0 3 native
  1191   -    1280843    1281430     588 nativebacarc  0 3 native
  1192   +    1281429    1281872     444 nativebacarc  0 3 native
  1193   +    1282030    1282218     189 nativebac  0 3 native
  1194   +    1282306    1282893     588 nativebacarc  0 3 native
  1195   +    1282890    1283036     147 nativebacarc  0 3 native
  1196   -    1283056    1284171    1116 nativebac  0 3 native
  1197   -    1284179    1284862     684 native  0 3 native
  1198   +    1284992    1286287    1296 nativebacarc  0 3 native
  1199   -    1286284    1286568     285 nativebac  0 3 native
  1200   +    1286595    1287020     426 nativebacarc  0 3 native
  1201   +    1287328    1291026    3699 nativebacarc  0 3 native
  1202   +    1291065    1292741    1677 nativebacarc  0 3 native
  1203   +    1292783    1293403     621 nativebacarc  0 3 native
  1204   +    1293406    1294146     741 nativebacarc  0 3 native
  1205   +    1294168    1296054    1887 nativebacarc  0 3 native
  1206   +    1296047    1298059    2013 nativebacarc  0 3 native
  1207   -    1298087    1298686     600 nativebacarc  0 3 native
  1208   -    1298764    1299804    1041 nativebacarc  0 3 native
  1209   -    1299822    1300142     321 nativebac  0 3 atypical
  1210   +    1300304    1301215     912 nativebacarc  0 3 native
  1211   +    1301385    1301747     363 nativebac  0 3 native
  1212   -    1301755    1302681     927 nativebacarc  0 3 native
  1213   +    1303072    1305501    2430 nativebacarc  0 3 native
  1214   -    1305669    1306001     333 nativebac  0 3 native
  1215   -    1306202    1308226    2025 nativebacarc  0 3 native
  1216   -    1308223    1308792     570 nativebacarc  0 3 native
  1217   +    1309005    1309331     327 nativebacarc  0 3 native
  1218   +    1309364    1310452    1089 nativebacarc  0 3 native
  1219   -    1310480    1313299    2820 nativebacarc  0 3 native
  1220   +    1313725    1315191    1467 nativebacarc  0 3 native
  1221   +    1315234    1319982    4749 nativebacarc  0 3 native
  1222   +    1320176    1321453    1278 nativebacarc  0 3 atypical
  1223   +    1321559    1324528    2970 nativebacarc  0 3 native
  1224   -    1324532    1325482     951 nativebacarc  0 3 native
  1225   -    1325776    1327512    1737 nativebacarc  0 3 native
  1226   -    1327689    1329305    1617 nativebacarc  0 3 native
  1227   +    1329378    1331021    1644 nativebacarc  0 3 native
  1228   +    1331021    1332010     990 nativebacarc  0 3 native
  1229   +    1332092    1332964     873 nativebacarc  0 3 native
  1230   +    1332980    1333858     879 nativebacarc  0 3 native
  1231   +    1333931    1334845     915 nativebacarc  0 3 native
  1232   +    1334927    1335754     828 nativebacarc  0 3 native
  1233   +    1335794    1337215    1422 nativebacarc  0 3 native
  1234   -    1337248    1338513    1266 nativebacarc  0 3 native
  1235   +    1339003    1339302     300 nativebac  0 3 native
  1236   +    1339349    1340524    1176 nativebacarc  0 3 native
  1237   +    1340659    1340955     297 nativebac  0 3 native
  1238   +    1341006    1341290     285 nativebacarc  0 3 native
  1239   -    1341358    1342605    1248 nativebacarc  0 3 native
  1240   +    1342942    1344219    1278 nativebacarc  0 3 native
  1241   -    1344216    1345169     954 nativebacarc  0 3 native
  1242   +    1345260    1346324    1065 nativebacarc  0 3 native
  1243   -    1346321    1346899     579 nativebacarc  0 3 native
  1244   -    1346936    1348624    1689 nativebacarc  0 3 native
  1245   +    1348719    1349282     564 nativebacarc  0 3 native
  1246   +    1349332    1351125    1794 nativebacarc  0 3 native
  1247   +    1351323    1352147     825 nativebacarc  0 3 native
  1248   +    1352144    1353118     975 nativebacarc  0 3 native
  1249   +    1353172    1353525     354 nativebacarc  0 3 atypical
  1250   +    1353522    1354136     615 nativebac  0 3 native
  1251   +    1354312    1354470     159 native  0 3 native
  1252   -    1354498    1355661    1164 nativebacarc  0 3 native
  1253   +    1355836    1357050    1215 nativebacarc  0 3 native
  1254   -    1357293    1357625     333 nativebac  0 3 native
  1255   -    1357759    1359444    1686 nativebacarc  0 3 native
  1256   -    1359472    1360146     675 nativebacarc  0 3 native
  1257   -    1360155    1361801    1647 nativebacarc  0 3 native
  1258   -    1361798    1362733     936 nativebacarc  0 3 native
  1259   -    1362723    1363397     675 nativebacarc  0 3 atypical
  1260   -    1363503    1364177     675 nativebacarc  0 3 native
  1261   +    1364539    1365186     648 nativebacarc  0 3 native
  1262   +    1365149    1365808     660 nativebac  0 3 native
  1263   +    1365905    1367461    1557 nativebacarc  0 3 native
  1264   +    1367463    1367858     396 nativebacarc  0 3 native
  1265   -    1367891    1368721     831 nativebacarc  0 3 native
  1266   -    1368832    1370295    1464 nativebacarc  0 3 native
  1267   -    1370292    1370726     435 nativebacarc  0 3 native
  1268   +    1370920    1371477     558 nativebacarc  0 3 native
